Location,Y_Coordinate,X_Coordinate
BEACH & UNIVERSITY EXXON,-81.60148795826638,30.291809567140344
ROUSE STEEL DRUM CO,-81.65555869694455,30.3283390747543
BRADDOCK METALLURGICAL INC,-81.64603942266794,30.47679710934244
FLASH FOODS #115,-81.69743570682454,30.247863332473035
AB SOD,-81.54904049843013,30.287122679040205
FIRST COAST ENERGY #1068,-81.50778086799231,30.085561243971892
GENUINE PARTS CO,-81.62025312949132,30.269505728841352
FLASH FOODS #109,-81.64064597505991,30.44159496251412
BELLSOUTH JCVLFLEM 31034,-81.6325059387057,30.287615482039808
SUNSHINE FOOD MART #261,-81.63216576736517,30.14570380994255
TEXACO #241100023,-81.50972531209032,30.085561243536812
WINN DIXIE #80,-81.55559652479677,30.219910301781933
BARNETT INC,-81.71291785326675,30.322760072110306
ROUX LABORATORIES INC,-81.65000313990669,30.319450183416652
FILING SOURCE INC,-81.58000311628979,30.235505721159676
CONCRETE SQUEEZE PUMPS LLC,-81.85584142025014,30.26318027619393
CP GMC MOTORS LTD,-81.55963128001635,30.316944296343067
WORLD FORD OF PENSACOLA,-87.2556209206172,30.480699917960163
SOAP OPERA COIN LAUNDRY,-87.2257004961561,30.473825861160826
STRADER MFG,-87.21476968609907,30.442649826814876
ZELMAR UNDERCAR SUPPLY INC,-87.23916788775149,30.463334691653355
MODERN AUTO GRAFIX,-87.24145158084269,30.411569902972705
WALLACE DRY CLEANING SERVICES,-87.21243368483073,30.423944685103578
PLASTIC ARTS SIGNS,-87.26890650513343,30.408932901505157
AFFORDABLE MANS AUTO,-81.92813758820814,28.02636282290156
ARMSTRONG WOOD PRODUCTS INC,-81.88148993525239,28.012816181141645
GENERAL TIRE SERVICE,-81.94525145496745,28.045658159947774
CIRCLE K STORE #4217,-81.943819148618,28.040815742787128
STAMEY AUTO PARTS,-81.6906626858177,28.022817022103087
WINN DIXIE #632,-81.97288309847131,27.93982974456593
BAYCHEM INC,-82.02147192145912,28.048629409426557
UNITED MAINTENANCE OF AUBURNDALE INC,-81.80456033109292,28.050555887390235
KELLERS CLEANERS,-81.97455170920482,27.8958144296895
ANDYS AUTO TRUCK RUSTPROOFING INC,-80.33605219791689,25.646302763101204
HOME DEPOT #0289,-82.68931833177437,27.83807211992147
HOME DEPOT #6335,-81.02219180333024,29.119591582037728
HOME DEPOT #6341,-80.25111371143473,26.048060283959543
MIAMI DADE COUNTY MEDICAL EXAMINER,-80.21111369274603,25.793337997684386
BOAT TREE,-81.01356124795053,29.200177712390044
SUPERIOR WINDOW CORP,-80.32583595009501,25.863338013390784
TREATED TIMBER PRODUCTS,-87.20034899064468,30.525904262593507
INTERSTATE BATTERIES,-81.4523182989317,28.5392157364069
NAVIGATOR POWER BOATS,-80.18944702155176,25.841671344220313
EXPRESS LUBE,-81.69625315069314,30.241033497609237
CVS #5141,-80.07525565187342,26.84372607212743
GULF COUNTY SHIPBUILDING INC,-85.25255122009581,29.881767146712946
DOLLAR GENERAL CORP,-82.53190784938067,29.768827418736244
BOCHNIA AUTO CARE,-83.40341057208853,30.469410224690606
PICA GRAPHIC PRESS,-87.27110961595943,30.3897010909561
PHOTO WORLD,-87.22432599589483,30.498709061650658
SMITHS AUTO REPAIR,-87.24554124946025,30.420607848863707
GRITS SMALL ENGINES,-87.32922824799205,30.49600200249404
RUBBER & SPECIALTIES INC,-87.23627846982279,30.44922121668457
ECONOMY MARINE,-87.27603409051495,30.42009065364068
BRASS POLISHER,-87.21989774188624,30.431221713205872
ESCAMBIA TREATING CO,-87.23335744162594,30.453974745680856
PETE MOORE CHEVROLET,-87.21283326758493,30.410225764306357
DEBONAIR CLEANERS INC,-87.22585563446337,30.46964880603946
SINCLAIR & VALENTINE CO INC,-87.32278066767124,30.608341499523902
MAACO AUTO PAINTING,-87.25854314469389,30.497138337682646
MAYES PRINTING CO,-87.24838797485671,30.47572674988765
GREATER PENSACOLA AUTO AUCTION,-87.26057350619023,30.49701980980161
SOUTHERN MECHANICAL,-87.32343366789924,30.616881723603893
SOUTHERN MECHANICAL,-87.32343366789924,30.616881723603893
DIXON SCREEN PRINTING,-87.27157334408156,30.51895245385076
SOUTHEASTERN FREIGHT LINES INC,-87.26632570416483,30.53358606813858
DESIGN SYSTEMS SOUTH INC,-87.2204844089268,30.437184658780115
HANS MAYER,-87.19750257044032,30.46305802638375
CHEMICAL TRANSPORT OF FLORIDA,-87.17767978815094,30.49311225577961
21ST CENTURY MARBLE,-87.31538937914152,30.3951948967765
BURKES MACHINE SHOP,-87.25618711324749,30.422438265461842
PEP BOYS,-87.22264374587924,30.490336781746244
PEN GULF INC,-87.23331024510321,30.406707123725567
WARD INTERNATIONAL,-87.25333116969402,30.474703638143897
GARDEN COIN LAUNDRY,-87.31610451929869,30.42154390240098
GARDEN COIN LAUNDRY,-87.31610451929869,30.42154390240098
BOOKS OF LOVE,-81.60142797046703,28.16992253176176
CIRCLE K #0279,-81.92476758736254,28.02336976686199
CIRCLE K #8817,-81.95688370914002,28.05535613430743
"AUBURNDALE PLANT HOLDINGS, LLC",-81.79967319133674,28.05195824816377
PREBORS REPAIR & REFINISHING,-81.99025924708141,28.06432580265469
DAVEY MARINE CENTER,-80.20744936522975,26.059218927070233
MCLEANS AUTO SALVAGE INC,-85.60718752744509,30.189722929173325
TRANSPORTATION SECURITY ADMIN - TSA AT MELBOURNE INTL AIRPOR,-80.62846387738423,28.096633009216145
ALBAR PRECIOUS METALS REFINING INC,-80.16389146865153,26.251115892680296
CARLOS MARTINEZ,-81.64374787268649,26.22642127308683
DREGGORS MARINE,-82.00000627950877,28.998105416523916
FLORIDA DEP DSCP D297-489502276,-81.38962444805146,28.563679160695084
MAPLE CORNER,-81.43781696556157,26.785604195212848
MARINE HYDRAULICS INTL INC - MAYPORT NAVAL STATION,-81.41694751892994,30.39556131902477
BILGE BATHERS INC,-80.43637241999014,27.67078207601019
TRANSPORTATION SECURITY ADMIN FT LAUDERDALE HOLLYWOOD INTL,-80.14166923530153,26.07222695894593
MILLENIUM ENGINE ASSOCIATES,-80.33557884167807,25.831944977663483
CARMAX #7163,-81.30878436583177,28.472976140866532
PALM BAY CHEVROLET,-80.65284010561987,28.033915382246416
JIM COOPER - RESIDENCE,-81.7482865434747,30.69917215846005
SUNOPTIC TECHNOLOGIES,-81.6082194870839,30.26128606046586
TAMPA BAY WATER - REGIONAL WATER TREATMENT FACILITIES,-82.34827101435556,27.96205515810042
SALLY BEAUTY CO INC,-81.66094176024178,30.472290358333648
M & D TRANSMISSIONS INC,-81.26801406899227,28.245088586137353
DISCOUNT CAR REPAIR,-82.36519424344974,29.723025467872688
ATLANTIC AUTO DISCOUNT INC,-80.11510369016625,26.778528054955036
LOWES OF ROCKLEDGE #1506,-80.74046180508036,28.296871861143536
OCEAN REEF CLUB INC,-80.2841692585934,25.318615652475952
ST MARYS BRIDGE,-81.688003555585,30.740827087040813
ROBERTS TIRES,-81.60339629339587,30.332719743919245
FLEET TRAILER SALES INC,-81.63657647346443,30.430505321041412
SPARKLE PARTS INC JACKSONVILLE,-81.65778091957347,30.31861684984509
SPARKLE PARTS INC JACKSONVILLE,-81.65778091957347,30.31861684984509
FINISHMASTER,-81.55695466732286,30.28602270617675
PROCTOR ACE HARDWARE,-81.39194750737757,30.292922406435704
DAWSON DEV INC,-81.45153491500459,30.33103877537474
GRAFIIKKA SIGN STUDIOS,-81.86722541204321,29.945838978484602
UNIVAR USA INC,-81.71366263203485,30.344512021209592
J A USED AUTO PARTS,-81.45824747029668,28.637005343157583
HERTZ RENTAL EQUIPMENT CORP,-81.53496740572187,30.162490510693516
JAX FOREIGN AUTO,-81.60370304373137,30.330849771236263
VICKS CLEANERS INC,-87.20989712787748,30.42278493369832
VICKS CLEANERS INC,-87.27447915062965,30.523203759705176
CROWN LAUNDRY & DRY CLEANERS INC,-87.21785368651511,30.428428490820846
CROWN LAUNDRY & DRY CLEANERS INC,-87.21785368651511,30.428428490820846
ENFINGERS AUTO RADIATOR SERVICE,-87.25598358822621,30.484035918193015
NU LOOK FURNITURE,-87.245176415375,30.4206071267839
USEPA AMERICAN CREOSOTE WORKS,-87.23842063524485,30.404770346013393
BARRON AND CO AUTO SERVICE,-85.59160096584606,30.15541128280047
BELLSOUTH PNSCFLGS 31413,-87.22363124261223,30.410937430339068
BROWN DIESEL CENTER,-87.21567226980578,30.44250329897443
COIN A MAT,-87.28796370365816,30.386807451628492
HOBART CORP,-87.25557933786206,30.476608416702597
MANSFIELD INDUSTRIAL COATINGS,-87.28787070939539,30.517640341762494
AUTO AIR & RADIATOR SERVICE,-87.25197322268664,30.422345154429564
RANGER SCREEN PRINTING,-87.21594493601438,30.446012578126496
FASHION DRY CLEANERS,-87.19989801698499,30.486233560538416
VOGUE CLEANERS #1,-87.19479134930502,30.490882145041002
SCHROEDER ENGINEERING,-87.28892492769837,30.416963485870426
SLOAN CONSTRUCTION CO,-81.25025299236484,29.466672215086252
INTERNATIONAL TOOL & MACHINE,-81.26833525054337,29.557325319698894
CARLSON AIRBODY,-81.2516696595569,29.466672214736068
BOULDER ROCK BP,-81.22583215460807,29.554070069808596
USCG CROOKED RIVER LIGHT,-84.70135556067483,29.82610039971762
FRANKLIN COUNTY SCHOOL BUS GARAGE,-84.99836739111178,29.72425403564518
MOBILE BOAT REPAIR,-86.97391120013941,30.404670297725747
MAGNA BON CORPORATION,-80.40921918038599,27.327274797585172
FLORIDA DOT FT PIERCE MAINT YARD,-80.3362270220106,27.395936537394498
SUNOCO AKA K & J SUPERSTOP,-80.34114569233446,27.484195893999903
ST LUCIE BATTERY,-80.38110745323962,27.4482246056634
SWIFT WATSON MINE,-81.76595639373132,27.728384698537006
FLORIDA DMA FLARNG AASF #2,-82.01779619705833,27.995674924212377
PENSKE TRUCK LEASING CO,-81.39083638228904,29.900005647750767
MAACO AUTO PAINTING,-81.3216090541032,29.828743466132227
STAR CLEANERS,-81.33275992053848,29.89043781304629
RIVERSIDE DRY CLEANERS,-81.3994474955672,29.90000564720757
G & M TRUCK PLAZA,-81.49618747487129,30.06630807302698
HOME DEPOT #6334,-81.3203558322149,29.870111170128556
SAN MARCO THEATER/BEST WESTERN,-81.3148661933029,29.89975767755156
HUNTLEY JIFFY FOOD STORES #118,-81.27614190205003,29.844672303687574
